frame,sim_time_s,x,y,z,yaw,speed_kmh,speed_limit_kmh,distance_traveled_m,route_progress,route_target_index,traffic_light_state,nearest_obstacle_distance_m
4901289,21.3,-271.938,-68.622,0.002,110.881,21.396,30.0,120.597,0.1875,62,Green,
4901294,21.55,-272.398,-67.214,0.002,108.424,21.303,30.0,120.597,0.1875,62,Green,
4901299,21.8,-272.806,-65.79,0.002,106.227,21.375,30.0,122.914,0.1875,63,Green,
4901304,22.05,-273.166,-64.352,0.002,104.42,21.325,30.0,125.231,0.1875,64,Green,
4901309,22.3,-273.48,-62.903,0.002,102.531,21.401,30.0,125.231,0.1875,64,Green,
4901314,22.55,-273.758,-61.445,0.002,100.953,21.328,30.0,127.548,0.1875,65,Green,
4901319,22.8,-274.0,-59.981,0.002,99.683,21.421,30.0,129.865,0.1875,66,Green,
4901324,23.05,-274.211,-58.512,0.002,98.366,21.347,30.0,129.865,0.1875,66,Green,
4901329,23.3,-274.396,-57.038,0.002,97.266,21.427,30.0,132.182,0.1875,67,Green,
4901334,23.55,-274.557,-55.561,0.002,96.404,21.36,30.0,134.208,0.1875,68,Green,
4901339,23.8,-274.696,-54.082,0.002,95.507,21.44,30.0,134.208,0.1875,68,Green,
4901344,24.05,-274.809,-52.6,0.002,94.466,21.362,30.0,136.208,0.1875,70,Green,
4901349,24.3,-274.9,-51.116,0.002,93.667,21.444,30.0,138.208,0.1875,71,Green,
4901354,24.55,-274.979,-49.632,0.002,93.137,21.372,30.0,140.208,0.1875,72,Green,
4901359,24.8,-275.048,-48.146,0.002,92.717,21.452,30.0,140.208,0.1875,72,Green,
4901364,25.05,-275.109,-46.661,0.002,92.411,21.378,30.0,142.208,0.1875,73,Green,
4901369,25.3,-275.165,-45.174,0.002,92.183,21.457,30.0,144.208,0.1875,73,Green,
4901374,25.55,-275.218,-43.688,0.002,92.086,21.381,30.0,146.208,0.1875,74,Green,
4901379,25.8,-275.267,-42.201,0.002,91.891,21.459,30.0,146.208,0.1875,74,Green,
4901384,26.05,-275.309,-40.714,0.002,91.656,21.382,30.0,148.208,0.1875,76,Green,
4901389,26.3,-275.345,-39.227,0.002,91.401,21.46,30.0,150.208,0.1875,77,Green,
4901394,26.55,-275.376,-37.74,0.002,91.234,21.384,30.0,152.208,0.1875,77,Green,
4901399,26.8,-275.405,-36.252,0.002,91.163,21.461,30.0,152.208,0.1875,77,Green,
4901404,27.05,-275.433,-34.765,0.002,91.069,21.385,30.0,154.208,0.1875,79,Green,
4901409,27.3,-275.457,-33.277,0.002,90.953,21.462,30.0,156.208,0.1875,80,Green,
4901414,27.55,-275.479,-31.79,0.002,90.865,21.385,30.0,158.208,0.1875,80,Green,
4901419,27.8,-275.501,-30.302,0.002,90.825,21.462,30.0,158.208,0.1875,80,Green,
4901424,28.05,-275.521,-28.815,0.002,90.787,21.386,30.0,160.208,0.1875,81,Green,
4901429,28.3,-275.54,-27.327,0.002,90.744,21.463,30.0,162.208,0.1875,82,Green,
4901434,28.55,-275.558,-25.839,0.002,90.696,21.386,30.0,164.208,0.1875,83,Green,
4901439,28.8,-275.575,-24.351,0.002,90.649,21.463,30.0,164.208,0.1875,83,Green,
4901444,29.05,-275.591,-22.864,0.002,90.62,21.386,30.0,166.208,0.1875,85,Green,
4901449,29.3,-275.607,-21.376,0.002,90.605,21.463,30.0,168.208,0.1875,86,Green,
4901454,29.55,-275.623,-19.888,0.002,90.623,21.386,30.0,168.208,0.1875,86,Red,
4901459,29.8,-275.64,-18.401,0.002,90.661,21.463,30.0,170.208,0.25,87,Red,
4901464,30.05,-275.659,-16.913,0.002,90.71,21.386,30.0,172.208,0.25,88,Red,
4901469,30.3,-275.678,-15.425,0.002,90.753,21.463,30.0,174.208,0.25,89,Red,
4901474,30.55,-275.699,-13.938,0.002,90.797,21.386,30.0,174.208,0.25,89,Red,
4901479,30.8,-275.721,-12.45,0.002,90.835,21.463,30.0,176.196,0.25,90,Red,
4901484,31.05,-275.744,-10.962,0.002,90.87,21.386,30.0,178.175,0.25,91,Red,
4901489,31.3,-275.767,-9.475,0.002,90.897,21.463,30.0,180.154,0.25,92,Red,
4901494,31.55,-275.791,-7.987,0.002,90.921,21.386,30.0,180.154,0.25,92,Red,
4901499,31.8,-275.816,-6.499,0.002,90.931,21.463,30.0,182.146,0.25,92,Red,
4901504,32.05,-275.84,-5.012,0.002,90.931,21.386,30.0,184.146,0.25,93,Red,
4901509,32.3,-275.864,-3.524,0.002,90.922,21.463,30.0,186.146,0.25,94,Red,
4901514,32.55,-275.887,-2.037,0.002,90.89,21.386,30.0,186.146,0.25,94,Red,
4901519,32.8,-275.908,-0.549,0.002,90.838,21.463,30.0,188.146,0.25,95,Red,
4901524,33.05,-275.928,0.939,0.002,90.777,21.386,30.0,190.146,0.25,96,Red,
4901529,33.3,-275.946,2.427,0.002,90.693,21.463,30.0,192.157,0.25,97,Red,
4901534,33.55,-275.961,3.914,0.002,90.588,21.386,30.0,192.157,0.25,97,Red,
4901539,33.8,-275.973,5.402,0.002,90.477,21.463,30.0,194.178,0.25,98,Red,
4901544,34.05,-275.982,6.89,0.002,90.37,21.386,30.0,196.199,0.25,99,Red,
4901549,34.3,-275.988,8.378,0.002,90.255,21.463,30.0,198.22,0.25,100,Red,
4901554,34.55,-275.991,9.865,0.002,90.13,21.386,30.0,198.22,0.25,100,Red,
4901559,34.8,-275.991,11.353,0.002,90.028,21.463,30.0,200.241,0.25,101,Red,
4901564,35.05,-275.989,12.841,0.002,89.933,21.386,30.0,202.262,0.25,102,Red,
4901569,35.3,-275.985,14.329,0.002,89.854,21.463,30.0,204.283,0.25,103,Red,
4901574,35.55,-275.979,15.817,0.002,89.782,21.386,30.0,204.283,0.25,103,Red,
4901579,35.8,-275.972,17.304,0.002,89.727,21.463,30.0,206.3,0.25,104,Red,
4901584,36.05,-275.963,18.792,0.002,89.683,21.386,30.0,208.3,0.25,105,Red,
4901589,36.3,-275.954,20.28,0.002,89.64,21.463,30.0,210.3,0.25,106,Red,
4901594,36.55,-275.943,21.768,0.002,89.602,21.386,30.0,210.3,0.25,106,Red,
4901599,36.8,-275.932,23.256,0.002,89.567,21.463,30.0,212.3,0.25,108,Red,
4901604,37.05,-275.92,24.743,0.002,89.538,21.386,30.0,214.3,0.25,108,Green,
4901609,37.3,-275.907,26.231,0.002,89.525,21.463,30.0,214.3,0.25,108,Green,
4901614,37.55,-275.895,27.719,0.002,89.512,21.386,30.0,216.3,0.25,109,Green,
4901619,37.8,-275.882,29.207,0.002,89.498,21.463,30.0,218.3,0.25,110,Green,
4901624,38.05,-275.868,30.694,0.002,89.486,21.386,30.0,220.3,0.25,112,Green,
4901629,38.3,-275.854,32.182,0.002,89.471,21.463,30.0,220.3,0.25,112,Green,
4901634,38.55,-275.84,33.67,0.002,89.464,21.386,30.0,222.3,0.25,112,Green,
4901639,38.8,-275.826,35.158,0.002,89.459,21.463,30.0,224.3,0.25,113,Green,
4901644,39.05,-275.812,36.645,0.002,89.454,21.386,30.0,226.3,0.25,114,Green,
4901649,39.3,-275.798,38.133,0.002,89.448,21.463,30.0,226.3,0.25,114,Green,
4901654,39.55,-275.783,39.621,0.002,89.443,21.386,30.0,228.3,0.3125,115,Green,
4901659,39.8,-275.768,41.109,0.002,89.44,21.463,30.0,230.3,0.3125,116,Green,
4901664,40.05,-275.754,42.596,0.002,89.436,21.386,30.0,232.3,0.3125,117,Green,
4901669,40.3,-275.739,44.084,0.002,89.433,21.463,30.0,232.3,0.3125,117,Green,
4901674,40.55,-275.724,45.572,0.002,89.43,21.386,30.0,234.3,0.3125,118,Green,
4901679,40.8,-275.71,47.06,0.002,89.427,21.463,30.0,236.3,0.3125,119,Green,
4901684,41.05,-275.694,48.547,0.002,89.426,21.386,30.0,238.3,0.3125,120,Green,
4901689,41.3,-275.679,50.035,0.002,89.425,21.463,30.0,238.3,0.3125,120,Green,
4901694,41.55,-275.664,51.523,0.002,89.424,21.386,30.0,240.3,0.3125,121,Green,
4901699,41.8,-275.649,53.011,0.002,89.424,21.463,30.0,242.3,0.3125,123,Green,
4901704,42.05,-275.634,54.499,0.002,89.423,21.386,30.0,244.3,0.3125,123,Green,
4901709,42.3,-275.619,55.986,0.002,89.423,21.463,30.0,244.3,0.3125,123,Green,
4901714,42.55,-275.604,57.474,0.002,89.423,21.386,30.0,246.3,0.3125,125,Green,
4901719,42.8,-275.588,58.962,0.002,89.423,21.463,30.0,248.3,0.3125,125,Green,
4901724,43.05,-275.573,60.45,0.002,89.423,21.386,30.0,250.3,0.3125,126,Green,
4901729,43.3,-275.552,61.937,0.002,89.207,21.462,30.0,250.3,0.3125,126,Green,
4901734,43.55,-275.516,63.424,0.002,88.57,21.374,30.0,252.3,0.3125,127,Green,
4901739,43.8,-275.443,64.909,0.002,87.292,21.427,30.0,254.3,0.3125,128,Green,
4901744,44.05,-275.319,66.389,0.002,85.561,21.36,30.0,256.3,0.3125,129,Green,
4901749,44.3,-275.134,67.861,0.002,83.13,21.408,30.0,256.3,0.3125,129,Green,
4901754,44.55,-274.91,69.328,0.002,81.656,21.349,30.0,258.3,0.3125,129,Green,
4901759,44.8,-274.672,70.794,0.002,80.853,21.396,30.0,260.745,0.3125,130,Green,
4901764,45.05,-274.358,72.242,0.002,78.181,21.31,30.0,260.745,0.3125,130,Green,
4901769,45.3,-273.995,73.678,0.002,76.033,21.326,30.0,263.361,0.3125,131,Green,
4901774,45.55,-273.544,75.086,0.002,72.826,21.281,30.0,263.361,0.3125,131,Green,
4901779,45.8,-273.016,76.464,0.002,69.353,21.293,30.0,265.976,0.3125,132,Green,
4901784,46.05,-272.41,77.811,0.002,66.332,21.222,30.0,268.592,0.3125,133,Green,
4901789,46.3,-271.708,79.106,0.002,62.224,21.294,30.0,268.592,0.3125,133,Green,
4901794,46.55,-270.947,80.37,0.002,59.29,21.169,30.0,271.207,0.3125,134,Green,
4901799,46.8,-270.095,81.571,0.002,55.416,21.294,30.0,271.207,0.3125,134,Green,
4901804,47.05,-269.171,82.716,0.002,51.487,21.158,30.0,273.822,0.3125,135,Green,
4901809,47.3,-268.176,83.802,0.002,48.135,21.251,30.0,276.438,0.3125,136,Green,
4901814,47.55,-267.11,84.818,0.002,44.299,21.21,30.0,276.438,0.3125,136,Green,
4901819,47.8,-265.989,85.772,0.002,40.656,21.17,30.0,279.053,0.3125,138,Green,
4901824,48.05,-264.793,86.624,0.002,36.356,21.18,30.0,279.053,0.3125,138,Green,
4901829,48.3,-263.554,87.42,0.002,33.161,21.277,30.0,281.669,0.3125,139,Green,
4901834,48.55,-262.282,88.17,0.002,30.949,21.231,30.0,284.233,0.3125,140,Green,
4901839,48.8,-260.978,88.865,0.002,28.51,21.339,30.0,284.233,0.3125,140,Green,
4901844,49.05,-259.653,89.521,0.002,26.527,21.264,30.0,286.447,0.3125,141,Green,
4901849,49.3,-258.303,90.129,0.002,24.597,21.352,30.0,288.661,0.3125,142,Green,
4901854,49.55,-256.931,90.683,0.002,22.394,21.298,30.0,288.661,0.3125,142,Green,
4901859,49.8,-255.54,91.191,0.002,20.307,21.374,30.0,290.874,0.3125,143,Green,
4901864,50.05,-254.132,91.655,0.002,18.456,21.299,30.0,293.088,0.3125,144,Green,
4901869,50.3,-252.709,92.069,0.002,16.594,21.399,30.0,293.088,0.3125,144,Green,
4901874,50.55,-251.275,92.442,0.002,14.789,21.318,30.0,295.302,0.375,145,Green,
4901879,50.8,-249.829,92.774,0.002,13.124,21.394,30.0,297.516,0.375,146,Green,
4901884,51.05,-248.373,93.06,0.002,11.451,21.336,30.0,299.73,0.375,147,Green,
4901889,51.3,-246.91,93.306,0.002,9.803,21.415,30.0,299.73,0.375,147,Green,
4901894,51.55,-245.442,93.525,0.002,8.648,21.342,30.0,301.943,0.375,148,Green,
4901899,51.8,-243.968,93.714,0.002,7.524,21.431,30.0,304.157,0.375,149,Green,
4901904,52.05,-242.492,93.875,0.002,6.41,21.357,30.0,304.157,0.375,149,Green,
4901909,52.3,-241.013,94.015,0.002,5.511,21.437,30.0,306.371,0.375,150,Green,
4901914,52.55,-239.531,94.137,0.002,4.819,21.367,30.0,308.471,0.375,151,Green,
4901919,52.8,-238.048,94.24,0.002,4.105,21.447,30.0,308.471,0.375,151,Green,
4901924,53.05,-236.564,94.328,0.002,3.456,21.372,30.0,310.471,0.375,152,Green,
4901929,53.3,-235.079,94.403,0.002,2.961,21.452,30.0,312.471,0.375,153,Green,
4901934,53.55,-233.594,94.466,0.002,2.532,21.378,30.0,314.471,0.375,154,Green,
4901939,53.8,-232.107,94.52,0.002,2.131,21.456,30.0,314.471,0.375,154,Green,
4901944,54.05,-230.621,94.566,0.002,1.823,21.38,30.0,316.471,0.375,155,Green,
4901949,54.3,-229.133,94.605,0.002,1.543,21.459,30.0,318.471,0.375,156,Green,
4901954,54.55,-227.647,94.638,0.002,1.313,21.383,30.0,320.471,0.375,157,Green,
4901959,54.8,-226.159,94.666,0.002,1.106,21.46,30.0,320.471,0.375,157,Green,
4901964,55.05,-224.672,94.69,0.002,0.95,21.384,30.0,322.471,0.375,158,Green,
4901969,55.3,-223.184,94.711,0.002,0.816,21.461,30.0,324.471,0.375,160,Green,
4901974,55.55,-221.696,94.727,0.002,0.647,21.385,30.0,326.471,0.375,161,Green,
4901979,55.8,-220.209,94.74,0.002,0.53,21.462,30.0,326.471,0.375,161,Green,
4901984,56.05,-218.721,94.751,0.002,0.457,21.385,30.0,328.471,0.375,162,Green,
4901989,56.3,-217.234,94.762,0.002,0.404,21.462,30.0,330.471,0.375,163,Green,
4901994,56.55,-215.746,94.771,0.002,0.357,21.386,30.0,332.471,0.375,164,Green,
4901999,56.8,-214.259,94.779,0.002,0.315,21.463,30.0,332.471,0.375,164,Green,
4902004,57.05,-212.771,94.786,0.002,0.293,21.386,30.0,334.471,0.375,164,Green,
4902009,57.3,-211.283,94.793,0.002,0.279,21.463,30.0,336.471,0.375,166,Green,
4902014,57.55,-209.796,94.799,0.002,0.239,21.386,30.0,336.471,0.375,166,Green,
4902019,57.8,-208.308,94.805,0.002,0.21,21.463,30.0,338.471,0.375,167,Red,
4902024,58.05,-206.82,94.81,0.002,0.188,21.386,30.0,340.471,0.375,168,Red,
4902029,58.3,-205.332,94.814,0.002,0.171,21.463,30.0,342.471,0.375,169,Red,
4902034,58.55,-203.844,94.818,0.002,0.157,21.386,30.0,342.471,0.375,169,Red,
4902039,58.8,-202.356,94.822,0.002,0.145,21.463,30.0,344.471,0.375,170,Red,
4902044,59.05,-200.869,94.825,0.011,0.137,21.25,30.0,346.471,0.375,170,Red,
4902049,59.3,-199.37,94.829,0.025,-0.036,21.628,30.0,348.471,0.375,171,Red,
4902054,59.55,-197.854,94.832,0.037,-0.182,22.02,30.0,348.471,0.375,171,Red,
4902059,59.8,-196.337,94.833,0.053,-0.249,21.761,30.0,350.471,0.375,172,Red,
