rank,title_cn,title_en,rating,rating_count,year,country,genre,director_actor,quote,detail_url
34,乱世佳人,Gone with the Wind,9.3,795820,1939,美国,剧情 历史 爱情 战争,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,Tomorrow is another day.,https://movie.douban.com/subject/1300267/
35,飞屋环游记,Up,9.1,1501249,2009,美国,剧情 喜剧 动画 冒险,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,最后那些最无聊的事情，才是最值得怀念的。,https://movie.douban.com/subject/2129039/
36,让子弹飞,,9.0,1920774,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
37,哈尔的移动城堡,ハウルの動く城,9.1,1291767,2004,日本,爱情 动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
38,十二怒汉,12 Angry Men,9.4,579341,1957,美国,剧情,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...,1957年的理想主义。,https://movie.douban.com/subject/1293182/
39,海蒂和爷爷,Heidi,9.3,782248,2015,德国 瑞士,剧情 冒险 家庭,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
40,素媛,소원,9.3,776497,2013,韩国,剧情,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
41,猫鼠游戏,Catch Me If You Can,9.1,1211809,2002,美国 加拿大,传记 犯罪 剧情,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,骗子大师和执著警探的你追我跑故事。,https://movie.douban.com/subject/1305487/
42,天空之城,天空の城ラピュタ,9.2,1009568,1986,日本,动画 奇幻 冒险,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,对天空的追逐，永不停止。,https://movie.douban.com/subject/1291583/
43,鬼子来了,,9.3,715601,2000,中国大陆,剧情 喜剧,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
44,摔跤吧！爸爸,Dangal,9.0,1746016,2016,印度,剧情 传记 运动 家庭,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
45,少年派的奇幻漂流,Life of Pi,9.1,1490272,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
46,钢琴家,The Pianist,9.3,750732,2002,英国 法国 波兰 德国 美国,剧情 传记 战争 音乐,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,,https://movie.douban.com/subject/1296736/
47,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,9.2,857805,2002,美国 新西兰,剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
48,死亡诗社,Dead Poets Society,9.2,884215,1989,美国,剧情,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
49,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,9.0,1366277,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,https://movie.douban.com/subject/1299398/
50,绿皮书,Green Book,8.9,1893864,2018,美国 中国大陆,剧情 喜剧 传记 音乐,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
